产品1ID,产品2ID,关联度,关联类型
ID447,ID1,0.5569829293195789,特色餐饮-特色餐饮
ID548,ID1,0.5096754071602878,景区-特色餐饮
ID632,ID1,0.5115966685026319,酒店-特色餐饮
ID31,ID2,0.8493172796779953,景区-景点
ID217,ID2,0.438674867712611,酒店-景点
ID426,ID2,0.5017376563954201,景点-景点
ID447,ID2,0.5829007540100312,特色餐饮-景点
ID548,ID2,0.480134830101435,景区-景点
ID447,ID3,0.5803424166687878,特色餐饮-景区
ID548,ID3,0.5311787784069208,景区-景区
ID725,ID3,0.5283304556361197,景点-景区
ID447,ID4,0.6287123007537428,特色餐饮-特色餐饮
ID548,ID4,0.5341451029908765,景区-特色餐饮
ID778,ID4,0.5344378274213514,景点-特色餐饮
ID261,ID5,0.558659669479169,酒店-酒店
ID447,ID5,0.6953505855831815,特色餐饮-酒店
ID548,ID5,0.5818658205364899,景区-酒店
ID447,ID6,0.6326660514821933,特色餐饮-特色餐饮
ID548,ID6,0.5452318657854622,景区-特色餐饮
ID633,ID6,0.5147396750538312,特色餐饮-特色餐饮
ID526,ID7,0.4992749424611732,酒店-景区
ID777,ID7,0.5246201563581152,特色餐饮-景区
ID886,ID7,0.5180493984039007,景区-景区
ID908,ID7,0.5416009831963186,特色餐饮-景区
ID331,ID8,0.6452758411813401,景区-酒店
ID447,ID8,0.6318045660907947,特色餐饮-酒店
ID548,ID8,0.5505748961922884,景区-酒店
ID719,ID8,0.5179858090064602,景点-酒店
ID33,ID9,0.8019879899808083,乡村旅游-景区
ID56,ID9,0.779684107149711,景区-景区
ID338,ID9,0.6734504508575829,民宿-景区
ID401,ID9,0.7828545041467436,酒店-景区
ID447,ID9,0.6286634820848286,特色餐饮-景区
ID548,ID9,0.569912200226934,景区-景区
ID848,ID9,0.5390994837795197,景点-景区
ID219,ID10,0.5462128618690164,景区-特色餐饮
ID447,ID10,0.6286858371818768,特色餐饮-特色餐饮
ID548,ID10,0.5514806393349101,景区-特色餐饮
ID94,ID11,0.6728108253918063,景区-酒店
ID100,ID11,0.5717884451436775,景区-酒店
ID848,ID11,0.44586783913373307,景点-酒店
ID242,ID12,0.5488613255552997,景区-景区
ID447,ID12,0.5939329654199116,特色餐饮-景区
ID548,ID12,0.5124040252663848,景区-景区
ID719,ID12,0.50929519758991,景点-景区
ID288,ID13,0.5176173504691887,景区-景区
ID447,ID13,0.601927810892053,特色餐饮-景区
ID548,ID13,0.5306619308602802,景区-景区
ID886,ID13,0.5046999530040709,景区-景区
ID447,ID14,0.5959769178053542,特色餐饮-特色餐饮
ID548,ID14,0.5359902074237649,景区-特色餐饮
ID626,ID14,0.4523414314773394,酒店-特色餐饮
ID415,ID15,0.6716602037769479,特色餐饮-特色餐饮
ID447,ID15,0.5892846447840678,特色餐饮-特色餐饮
ID548,ID15,0.5549096363837887,景区-特色餐饮
ID828,ID15,0.4921447852411277,景区-特色餐饮
ID447,ID16,0.6367125206690964,特色餐饮-景区
ID548,ID16,0.5849525965162309,景区-景区
ID719,ID16,0.5570543697959816,景点-景区
ID785,ID16,0.5840283806570288,景点-景区
ID209,ID17,0.6207857172550764,酒店-景区
ID412,ID17,0.8257789282673464,酒店-景区
ID447,ID17,0.5758239786269808,特色餐饮-景区
ID476,ID17,0.513599931518831,酒店-景区
ID548,ID17,0.521153849617292,景区-景区
ID614,ID17,0.5277877977443807,酒店-景区
ID886,ID17,0.5128841629107881,景区-景区
ID28,ID18,0.8997754239573001,景区-景区
ID146,ID18,0.6625780916078381,景区-景区
ID344,ID18,0.7913147397295109,景点-景区
ID447,ID18,0.611480959038938,特色餐饮-景区
ID548,ID18,0.544684423340219,景区-景区
ID208,ID19,0.5232121398316509,景区-景区
ID447,ID19,0.6151302074155854,特色餐饮-景区
ID548,ID19,0.5670014297630326,景区-景区
ID777,ID19,0.5237323045039433,特色餐饮-景区
ID882,ID19,0.5512549892380142,酒店-景区
ID886,ID19,0.5251525063058924,景区-景区
ID414,ID20,0.7346208215954839,特色餐饮-酒店
ID447,ID20,0.5730277235163821,特色餐饮-酒店
ID548,ID20,0.5526939284321616,景区-酒店
ID739,ID20,0.5069963819358134,景点-酒店
ID108,ID21,0.6443991062426746,景区-乡村旅游
ID208,ID21,0.48516860531705974,景区-乡村旅游
ID447,ID21,0.6096611443628879,特色餐饮-乡村旅游
ID548,ID21,0.49310138000887394,景区-乡村旅游
ID604,ID21,0.625616693265512,酒店-乡村旅游
ID879,ID21,0.49173980231704256,景区-乡村旅游
ID248,ID22,0.629596194437958,景区-景区
ID447,ID22,0.5806636242466188,特色餐饮-景区
ID548,ID22,0.5115151231596602,景区-景区
ID53,ID23,0.899342482076427,景区-景区
ID100,ID23,0.6530722410705817,景区-景区
ID848,ID23,0.5206827610644909,景点-景区
ID886,ID23,0.5527743850910349,景区-景区
ID401,ID24,0.7317407319254413,酒店-景区
ID447,ID24,0.6422610443641812,特色餐饮-景区
ID516,ID24,0.5852886034333418,景区-景区
ID548,ID24,0.5536305301288628,景区-景区
ID208,ID25,0.5567970572787078,景区-景区
ID312,ID25,0.6409881915518084,文创-景区
ID447,ID25,0.6154870348090642,特色餐饮-景区
ID476,ID25,0.5847882966788839,酒店-景区
ID548,ID25,0.5910352462744363,景区-景区
ID619,ID25,0.5518118080522559,景区-景区
ID746,ID25,0.5293069983555405,景点-景区
ID67,ID26,0.8894122873993728,酒店-景区
ID208,ID26,0.5365867798923425,景区-景区
ID447,ID26,0.640140902382872,特色餐饮-景区
ID548,ID26,0.536177493230055,景区-景区
ID604,ID26,0.6443701982173686,酒店-景区
ID879,ID26,0.5316300265156833,景区-景区
ID447,ID27,0.6161712804805379,特色餐饮-景区
ID472,ID27,0.666352740382213,乡村旅游-景区
ID548,ID27,0.5654932570266606,景区-景区
ID886,ID27,0.5513586912225075,景区-景区
ID146,ID28,0.7158857602936205,景区-景区
ID447,ID28,0.6264944911057917,特色餐饮-景区
